   1
  1     1.00000 0.002 0
  15
  1     2.63866 0.001 0
  7    -0.22800 0.001 0
 11     0.00000 0.001 0
 24    -0.08700 0.001 0
 13     0.00000 0.001 0
 25     0.00000 0.001 0
 15    -0.08200 0.001 0
 22     0.00000 0.001 0
  5    -0.94200 0.001 0
  2     0.18300 0.001 0
  8    -0.30000 0.001 0
 27     0.00000 0.001 0
 12    -0.11200 0.001 0
  9     0.00000 0.001 0
 10    -0.05800 0.001 0
  15
  1    -0.16945 0.001 0
  7    -0.10900 0.001 0
 11     0.18307 0.001 0
 24    -0.06700 0.001 0
 13     0.24000 0.001 0
 25     0.00000 0.001 0
 15    -0.02500 0.001 0
 22     0.00000 0.001 0
  5     0.21000 0.001 0
  2     0.37300 0.001 0
  8     0.10000 0.001 0
 27     0.00000 0.001 0
 12    -0.07500 0.001 0
  9     0.00000 0.001 0
 10    -0.02000 0.001 0
  25
   1   2     1.75200 0.001 0
   2   5     0.83065 0.001 0
   7   6    -0.37523 0.001 0
   3   4     0.82659 0.001 0
   6   8     0.29563 0.001 0
  28   8     0.00568 0.001 0
  13  12     0.00000 0.001 0
  12  14     0.07319 0.001 0
  14  15     0.01039 0.001 0
  15  23     0.04159 0.001 0
  23  24     0.00938 0.001 0
  22  24     0.06990 0.001 0
  25  26     0.03559 0.001 0
  30  27    -0.06926 0.001 0
  29  27    -0.06114 0.001 0
  19  18    -0.01818 0.001 0
  21  22    -0.01077 0.001 0
  16  17     0.02746 0.001 0
  12  16     0.06299 0.001 0
  20  19     0.07720 0.001 0
  10   9    -0.29927 0.001 0
  12   4    -0.41429 0.001 0
   6  10     0.17039 0.001 0
   6   9     0.29927 0.001 0
  27  28    -0.17898 0.001 0
  25
   1   2    -0.19830 0.001 0
   2   5     0.02306 0.001 0
   7   6     0.03367 0.001 0
   3   4    -0.07399 0.001 0
   6   8    -0.10169 0.001 0
  28   8    -0.03991 0.001 0
  13  12     0.23995 0.001 0
  12  14     0.01310 0.001 0
  14  15    -0.00455 0.001 0
  15  23     0.00633 0.001 0
  23  24    -0.01010 0.001 0
  22  24     0.07410 0.001 0
  25  26     0.02387 0.001 0
  30  27    -0.01350 0.001 0
  29  27    -0.01528 0.001 0
  19  18     0.02837 0.001 0
  21  22     0.01206 0.001 0
  16  17    -0.04819 0.001 0
  12  16    -0.02907 0.001 0
  20  19     0.06315 0.001 0
  10   9    -0.17487 0.001 0
  12   4     0.15030 0.001 0
   6  10     0.07059 0.001 0
   6   9     0.03386 0.001 0
  27  28    -0.03012 0.001 0
   4
   6  10     0.19500 0.004 0
   4  12     0.46162 0.004 0
   6   9     0.31842 0.004 0
  27  28     0.20238 0.004 0
   0


