All calculations,Terminal
0,1
3.02,1
3.03,1
3.04,1
3.05,1
3.06,1
3.07,1
3.08,1
3.09,1
3.1,1
3.11,1
3.12,1
3.13,1
3.14,1
3.15,1
3.16,1
3.17,1
3.18,1
3.19,1
3.2,1
3.21,1
3.22,1
3.23,1
3.24,1
3.25,1
3.26,1
3.27,1
3.28,1
3.29,1
3.3,1
3.31,1
3.32,1
3.33,1
3.34,1
3.35,1
3.36,1
3.37,1
3.38,1
3.39,1
3.4,1
3.41,1
3.42,1
3.43,1
3.44,1
3.45,1
3.46,1
3.47,1
3.48,1
3.49,1
3.5,1
3.51,1
3.52,1
3.53,1
3.54,1
3.55,1
3.56,1
3.57,1
3.58,1
3.59,1
3.6,1
3.61,1
3.62,1
3.63,1
3.64,1
3.65,1
3.66,1
3.67,1
3.68,1
3.69,1
3.7,1
3.71,1
3.72,1
3.73,1
3.74,1
3.75,1
3.76,1
3.77,1
3.78,1
3.79,1
3.8,1
3.81,1
3.82,1
3.83,1
3.84,1
3.85,1
3.86,1
3.87,1
3.88,1
3.89,1
3.9,1
3.91,1
3.92,1
3.93,1
3.94,1
3.95,1
3.96,1
3.97,1
3.98,1
3.99,1
4,1
4.01,1
4.02,1
4.03,1
4.04,1
4.05,1
4.06,1
4.07,1
4.08,1
4.09,1
4.1,1
4.11,1
4.12,1
4.13,1
4.14,1
4.15,1
4.16,1
4.17,1
4.18,1
4.19,1
4.2,1
4.21,1
4.22,1
4.23,1
4.24,1
4.25,1
4.26,1
4.27,1
4.28,1
4.29,1
4.3,1
4.31,1
4.32,1
4.33,1
4.34,1
4.35,1
4.36,1
4.37,1
4.38,1
4.39,1
4.4,1
4.41,1
4.42,1
4.43,1
4.44,1
4.45,1
4.46,1
4.47,1
4.48,1
4.49,1
4.5,1
4.51,1
4.52,1
4.53,1
4.54,1
4.55,1
4.56,1
4.57,1
4.58,1
4.59,1
4.6,1
4.61,1
4.62,1
4.63,1
4.64,1
4.65,1
4.66,1
4.67,1
4.68,1
4.69,1
4.7,1
4.71,1
4.72,1
4.73,1
4.74,1
4.75,1
4.76,1
4.77,1
4.78,1
4.79,1
4.8,1
4.81,1
4.82,1
4.83,1
4.84,1
4.85,1
4.86,1
4.87,1
4.88,1
4.89,1
4.9,1
4.91,1
4.92,1
4.93,1
4.94,1
4.95,1
4.96,1
4.97,1
4.98,1
4.99,1
5,1
5.005,0.993314
5.011667,0.992598
5.021667,0.991571
5.031667,0.990607
5.041667,0.989702
5.051667,0.988853
5.061667,0.988056
5.071667,0.987308
5.081667,0.986608
5.091667,0.985951
5.101667,0.985337
5.111667,0.984763
5.121667,0.98421
5.131667,0.983718
5.141667,0.983248
5.151667,0.982808
5.161667,0.982398
5.171667,0.982015
5.181667,0.981647
5.191667,0.98131
5.201667,0.980995
5.211667,0.980702
5.221667,0.980429
5.231667,0.980174
5.241667,0.979937
5.251667,0.979718
5.261667,0.979515
5.271667,0.979328
5.281667,0.979156
5.291667,0.978999
5.301667,0.978856
5.311667,0.978726
5.321667,0.978609
5.331667,0.978505
5.341667,0.978412
5.351667,0.978331
5.361667,0.978261
5.371667,0.978202
5.381667,0.978153
5.391667,0.978113
5.401667,0.978084
5.411667,0.978063
5.421667,0.978051
5.431667,0.978047
5.441667,0.978052
5.451667,0.978064
5.461667,0.978084
5.471667,0.978111
5.481667,0.978145
5.491667,0.978185
5.501667,0.978232
5.511667,0.978285
5.521667,0.978344
5.531667,0.978408
5.541667,0.978478
5.551667,0.978553
5.561667,0.978633
5.571667,0.978717
5.581667,0.978806
5.591667,0.9789
5.601667,0.978997
5.611667,0.979098
5.621667,0.979203
5.631667,0.979312
5.641667,0.979423
5.651667,0.979538
5.661667,0.979656
5.671667,0.979776
5.681667,0.9799
5.691667,0.980025
5.701667,0.980153
5.711667,0.980283
5.721667,0.980415
5.731667,0.980549
5.741667,0.980685
5.751667,0.980822
5.761667,0.980961
5.771667,0.981101
5.781667,0.981242
5.791667,0.981385
5.801667,0.981528
5.811667,0.981673
5.821667,0.981818
5.831667,0.981964
5.841667,0.98211
5.851667,0.982257
5.861667,0.982404
5.871667,0.982552
5.881667,0.9827
5.891667,0.982848
5.901667,0.982996
5.911667,0.983144
5.921667,0.983292
5.931667,0.98344
5.941667,0.983587
5.951667,0.983735
5.961667,0.983882
5.971667,0.984028
5.981667,0.984175
5.991667,0.98432
6.001667,0.984466
6.011667,0.98461
6.021667,0.984754
6.031667,0.984898
6.041667,0.98504
6.051667,0.985182
6.061667,0.985323
6.071667,0.985464
6.081667,0.985603
6.091667,0.985742
